,Gini
0,0.0
1,0.3478
2,0.473
3,0.5146
4,0.527
5,0.5576
6,0.6000000000000001
7,0.6315999999999999
8,0.6352
9,0.604
10,0.5840000000000001
11,0.5953999999999999
12,0.5720000000000001
13,0.5922000000000001
14,0.5936
15,0.6194
16,0.6264000000000001
17,0.6402
18,0.65
19,0.6532
20,0.634
21,0.631
22,0.6222000000000001
23,0.643
24,0.6496
25,0.6652
26,0.6684
27,0.6616
28,0.6759999999999999
29,0.645
30,0.6474
31,0.6556
32,0.6164000000000001
33,0.6554
34,0.6315999999999999
35,0.6096
36,0.6254
37,0.6215999999999999
38,0.6315999999999999
39,0.648
40,0.643
41,0.6604
42,0.6404000000000001
43,0.655
44,0.6628000000000001
45,0.6572
46,0.6482
47,0.6448
48,0.657
49,0.636
50,0.641
51,0.6564
52,0.6562
53,0.6728000000000001
54,0.658
55,0.656
56,0.6568
57,0.6568
58,0.6792
59,0.669
60,0.6416
61,0.626
62,0.6122000000000001
63,0.6092
64,0.6032
65,0.6033999999999999
66,0.6214
67,0.6312
68,0.6312
69,0.6444000000000001
70,0.6254
71,0.6322
72,0.664
73,0.656
74,0.6588
75,0.615
76,0.6366
77,0.6468
78,0.6106
79,0.643
80,0.6064
81,0.659
82,0.6554
83,0.6474
84,0.6352
85,0.6398
86,0.629
87,0.6308
88,0.5986
89,0.5594
90,0.5608
91,0.577
92,0.5406
93,0.6134
94,0.6082000000000001
95,0.5933999999999999
96,0.5946
97,0.5768
98,0.6124
99,0.6124
